gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
marvel g200,2024.0,480.0,896.0,1250.0,50.0,10.0,350.0,154.0,600000.0,668.8963210702341,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
millennium g200,2024.0,480.0,1.144,1250.0,50.0,10.0,350.0,154.0,600000.0,279850.7462686567,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
millennium g200 sd,2024.0,480.0,896.0,1250.0,50.0,10.0,350.0,154.0,600000.0,668.8963210702341,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
mystique g200,2024.0,480.0,896.0,1250.0,50.0,10.0,350.0,154.0,600000.0,668.8963210702341,11764.70588235294,0.06451612903225806,2.3978952727983707,3.3314383390085567,-0.07630918228861328
productiva g100,2024.0,480.0,496.0,1250.0,50.0,29.0,350.0,154.0,600000.0,1207.2434607645876,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
riva 128zx,2024.0,480.0,1.6,1250.0,50.0,4.0,350.0,71.0,600000.0,230769.23076923075,11764.70588235294,0.05555555555555555,1.6094379124341003,3.3314383390085567,-0.07630918228861328
riva tnt,2024.0,480.0,1.76,1250.0,50.0,7.0,350.0,128.0,600000.0,217391.3043478261,11764.70588235294,0.05426356589147287,2.0794415416798357,3.3314383390085567,-0.07630918228861328
velocity 100,2024.0,480.0,2.288,1250.0,15.0,8.2,250.0,74.0,600000.0,182481.75182481753,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
voodoo3 1000 agp,2024.0,480.0,2.288,1250.0,15.0,8.2,250.0,74.0,600000.0,182481.75182481753,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
voodoo3 2000 agp,2024.0,480.0,2.288,1250.0,15.0,8.2,250.0,74.0,600000.0,182481.75182481753,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
voodoo3 2000 pci,2024.0,480.0,2.288,1250.0,15.0,8.2,250.0,74.0,600000.0,182481.75182481753,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
voodoo3 3000 agp,2024.0,480.0,2.656,1250.0,15.0,8.2,250.0,74.0,600000.0,164113.78555798688,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
voodoo3 3000 pci,2024.0,480.0,2.656,1250.0,15.0,8.2,250.0,74.0,600000.0,164113.78555798688,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
voodoo3 3500 tv agp,2024.0,480.0,2.928,1250.0,15.0,8.2,250.0,74.0,600000.0,152749.49083503056,37500.0,0.10933333333333332,2.2192034840549946,3.3314383390085567,-0.07630918228861328
all in wonder 128,2024.0,480.0,1.44,1250.0,50.0,8.0,250.0,89.0,600000.0,245901.6393442623,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
all in wonder 128 pci,2024.0,480.0,1.44,1250.0,50.0,8.0,250.0,89.0,600000.0,245901.6393442623,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
all in wonder 128 pro,2024.0,480.0,1.92,1250.0,50.0,8.0,250.0,98.0,600000.0,205479.45205479453,11764.70588235294,0.08080808080808081,2.1972245773362196,3.3314383390085567,-0.07630918228861328
all in wonder 128 pro ultra,2024.0,480.0,2.144,1250.0,50.0,8.0,250.0,89.0,600000.0,190839.69465648854,11764.70588235294,0.08888888888888889,2.1972245773362196,3.3314383390085567,-0.07630918228861328
fire gl1,2024.0,480.0,3.2,1250.0,50.0,29.0,250.0,154.0,600000.0,142857.14285714284,11764.70588235294,0.1870967741935484,3.4011973816621555,3.3314383390085567,-0.07630918228861328
rage 128 pro,2024.0,480.0,2.288,1250.0,50.0,8.0,250.0,98.0,600000.0,182481.75182481753,11764.70588235294,0.08080808080808081,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage 128 pro ultra,2024.0,480.0,1.04,1250.0,50.0,8.0,250.0,98.0,600000.0,294117.64705882355,11764.70588235294,0.08080808080808081,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage 128 ultra,2024.0,480.0,2.08,1250.0,50.0,8.0,250.0,98.0,600000.0,194805.1948051948,11764.70588235294,0.08080808080808081,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage fury,2024.0,480.0,1.92,1250.0,50.0,8.0,250.0,98.0,600000.0,205479.45205479453,11764.70588235294,0.08080808080808081,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage fury maxx,2024.0,480.0,2.288,1250.0,50.0,8.0,250.0,98.0,600000.0,182481.75182481753,11764.70588235294,0.08080808080808081,2.1972245773362196,3.3314383390085567,-0.07630918228861328
rage mobility 128 agp 2x,2024.0,480.0,840.0,1250.0,50.0,8.0,250.0,70.0,600000.0,713.436385255648,11764.70588235294,0.11267605633802817,2.1972245773362196,3.3314383390085567,-0.07630918228861328
