gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size
hd 6370d igp,,160.0,40.0,1250.0,65.0,1.0,32.0,227.0
hd 6380g igp,,160.0,40.0,1250.0,35.0,1.0,32.0,227.0
hd 6390,,320.0,16.0,1250.0,39.0,627.0,40.0,104.0
hd 6410d igp,,160.0,40.0,1250.0,65.0,1.0,32.0,227.0
hd 6430m,,160.0,12.8,1250.0,50.0,370.0,40.0,67.0
hd 6450,,160.0,8.0,1250.0,18.0,370.0,40.0,67.0
hd 6450 oem,,160.0,8.528,1250.0,18.0,370.0,40.0,67.0
hd 6450a,,160.0,8.528,1250.0,25.0,370.0,40.0,67.0
hd 6450m,,160.0,12.8,1250.0,50.0,370.0,40.0,67.0
hd 6470m,,160.0,12.8,1250.0,25.0,370.0,40.0,67.0
hd 6480g igp,,240.0,40.0,1250.0,35.0,1.0,32.0,227.0
hd 6480g igp,,160.0,40.0,1250.0,35.0,1.0,32.0,227.0
hd 6490,,320.0,16.0,1250.0,39.0,627.0,40.0,104.0
hd 6490m,,160.0,25.6,1250.0,50.0,370.0,40.0,67.0
hd 6490m mac edition,,160.0,25.41,1250.0,50.0,370.0,40.0,67.0
hd 6510,,400.0,16.0,1250.0,39.0,627.0,40.0,104.0
hd 6510,,320.0,21.34,1250.0,39.0,716.0,40.0,118.0
hd 6520g igp,,320.0,40.0,1250.0,35.0,1.0,32.0,227.0
hd 6530,,400.0,19.2,1250.0,39.0,627.0,40.0,104.0
hd 6530d igp,,320.0,40.0,1250.0,65.0,1.0,32.0,227.0
hd 6550a,,480.0,25.6,1250.0,35.0,627.0,40.0,104.0
hd 6550d igp,,400.0,40.0,1250.0,65.0,1.0,32.0,227.0
hd 6570,,480.0,16.0,1250.0,44.0,716.0,40.0,118.0
hd 6570,,480.0,64.0,1250.0,60.0,716.0,40.0,118.0
hd 6570 oem,,480.0,28.8,1250.0,44.0,716.0,40.0,118.0
hd 6570m,,480.0,25.6,1250.0,30.0,716.0,40.0,118.0
hd 6610m,,400.0,25.6,1250.0,26.0,716.0,40.0,118.0
hd 6620g igp,,400.0,40.0,1250.0,35.0,1.0,32.0,227.0
hd 6625m,,480.0,25.6,1250.0,26.0,716.0,40.0,118.0
hd 6630m,,480.0,25.6,1250.0,26.0,716.0,40.0,118.0
hd 6630m mac edition,,480.0,19.2,1250.0,26.0,716.0,40.0,118.0
hd 6650a,,480.0,28.8,1250.0,45.0,716.0,40.0,118.0
hd 6650m,,480.0,25.6,1250.0,50.0,716.0,40.0,118.0
hd 6670,,480.0,64.0,1250.0,66.0,716.0,40.0,118.0
hd 6670a,,480.0,64.0,1250.0,45.0,716.0,40.0,118.0
hd 6730m,,480.0,25.6,1250.0,35.0,716.0,40.0,118.0
hd 6750,,720.0,73.6,1250.0,86.0,1.0,40.0,166.0
hd 6750m,,480.0,25.6,1250.0,35.0,716.0,40.0,118.0
hd 6750m mac edition,,480.0,50.82,1250.0,35.0,716.0,40.0,118.0
hd 6770,,800.0,76.8,1250.0,108.0,1.0,40.0,166.0
hd 6770m,,480.0,57.6,1250.0,35.0,716.0,40.0,118.0
hd 6770m mac edition,,480.0,50.82,1250.0,35.0,716.0,40.0,118.0
